

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
,Buy to Cover,08/03/2017 15:00,EoDS,$8926.50,,$0.00,($1644.00),,$0.00,100.00%,100.00%,$0.00,$0.00
67,Sell Short,09/03/2017 09:00,StochES1,$8928.50,$0.00,3,($42.00),-0.08%,$0.00,0.00%,,$0.00,$0.00
,Buy to Cover,09/03/2017 09:15,StochSx2,$8935.50,,($42.00),($1686.00),,($60.00),30.00%,-70.00%,$0.00,$0.00
68,Sell Short,17/03/2017 15:00,StochES2,$8979.25,$0.00,3,$0.00,0.00%,$0.00,100.00%,,$0.00,$0.00
,Buy to Cover,17/03/2017 15:00,EoDS,$8979.25,,$0.00,($1686.00),,$0.00,100.00%,100.00%,$0.00,$0.00
69,Sell Short,20/03/2017 13:00,StochES2,$8972.75,$0.00,3,($61.50),-0.11%,$25.50,28.33%,,$0.00,$0.00
,Buy to Cover,20/03/2017 14:45,StochSx2,$8983.00,,($61.50),($1747.50),,($64.50),3.33%,-68.33%,$0.00,$0.00
70,Sell Short,21/03/2017 09:30,StochES2,$8984.25,$0.00,3,$492.00,0.91%,$498.00,96.23%,,$0.00,$0.00
,Buy to Cover,21/03/2017 15:00,EoDS,$8902.25,,$492.00,($1255.50),,($19.50),98.84%,95.07%,$0.00,$0.00
71,Sell Short,31/03/2017 14:15,StochES2,$9006.00,$0.00,3,($33.00),-0.06%,$0.00,0.00%,,$0.00,$0.00
,Buy to Cover,31/03/2017 14:30,StochSx2,$9011.50,,($33.00),($1288.50),,($34.50),4.35%,-95.65%,$0.00,$0.00
72,Sell Short,03/04/2017 08:45,StochES2,$9008.75,$0.00,3,$0.00,0.00%,$0.00,100.00%,,$0.00,$0.00
,Buy to Cover,03/04/2017 08:45,EoDS,$9008.75,,$0.00,($1288.50),,$0.00,100.00%,100.00%,$0.00,$0.00
73,Sell Short,10/04/2017 11:00,StochES2,$8983.50,$0.00,3,($79.50),-0.15%,$64.50,42.57%,,$0.00,$0.00
,Buy to Cover,10/04/2017 12:15,StochSx2,$8996.75,,($79.50),($1368.00),,($87.00),4.95%,-52.48%,$0.00,$0.00
74,Sell Short,11/04/2017 09:00,StochES1,$8967.00,$0.00,3,$87.00,0.16%,$252.00,90.32%,,$0.00,$0.00
,Buy to Cover,11/04/2017 15:00,EoDS,$8952.50,,$87.00,($1281.00),,($27.00),40.86%,31.18%,$0.00,$0.00
75,Sell Short,13/04/2017 11:30,StochES2,$8950.75,$0.00,3,$147.00,0.27%,$159.00,92.17%,,$0.00,$0.00
,Buy to Cover,13/04/2017 15:00,EoDS,$8926.25,,$147.00,($1134.00),,($13.50),93.04%,85.22%,$0.00,$0.00
