

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
,Sell,09/01/2017 16:50,LX,$1924.8,,$490.00,$14100.00,,($120.00),55.96%,44.95%,$0.00,$0.00
59,Sell Short,11/01/2017 05:35,SE,$1930.4,$0.00,1,($470.00),-0.24%,$1020.00,47.44%,,$0.00,$0.00
,Buy to Cover,11/01/2017 16:50,SX,$1935.1,,($470.00),$13630.00,,($1130.00),30.70%,-21.86%,$0.00,$0.00
60,Buy,13/01/2017 01:45,LE,$1938.6,$0.00,1,$230.00,0.12%,$640.00,44.76%,,$0.00,$0.00
,Sell,13/01/2017 16:50,LX,$1940.9,,$230.00,$13860.00,,($790.00),71.33%,16.08%,$0.00,$0.00
61,Sell Short,16/01/2017 04:05,SE,$1944.8,$0.00,1,($1400.00),-0.72%,$60.00,3.35%,,$0.00,$0.00
,Buy to Cover,17/01/2017 16:50,SX,$1958.8,,($1400.00),$12460.00,,($1730.00),18.44%,-78.21%,$0.00,$0.00
62,Sell Short,19/01/2017 03:05,SE,$1941.5,$0.00,1,($640.00),-0.33%,$290.00,26.36%,,$0.00,$0.00
,Buy to Cover,19/01/2017 16:50,SX,$1947.9,,($640.00),$11820.00,,($810.00),15.45%,-58.18%,$0.00,$0.00
63,Buy,20/01/2017 02:05,LE,$1951.4,$0.00,1,$0.00,0.00%,$660.00,39.76%,,$0.00,$0.00
,Sell,20/01/2017 16:50,LX,$1951.4,,$0.00,$11820.00,,($1000.00),60.24%,0.00%,$0.00,$0.00
64,Sell Short,24/01/2017 00:50,SE,$1958.3,$0.00,1,$620.00,0.32%,$890.00,78.76%,,$0.00,$0.00
,Buy to Cover,24/01/2017 16:50,SX,$1952.1,,$620.00,$12440.00,,($240.00),76.11%,54.87%,$0.00,$0.00
65,Sell Short,30/01/2017 00:55,SE,$1935.5,$0.00,1,($210.00),-0.11%,$500.00,44.25%,,$0.00,$0.00
,Buy to Cover,30/01/2017 16:50,SX,$1937.6,,($210.00),$12230.00,,($630.00),37.17%,-18.58%,$0.00,$0.00
66,Sell Short,06/02/2017 02:15,SE,$1964.9,$0.00,1,($1290.00),-0.66%,$110.00,7.75%,,$0.00,$0.00
,Buy to Cover,06/02/2017 16:50,SX,$1977.8,,($1290.00),$10940.00,,($1310.00),1.41%,-90.85%,$0.00,$0.00
67,Sell Short,08/02/2017 02:00,SE,$1973.1,$0.00,1,($1070.00),-0.54%,$30.00,2.10%,,$0.00,$0.00
,Buy to Cover,08/02/2017 16:50,SX,$1983.8,,($1070.00),$9870.00,,($1400.00),23.08%,-74.83%,$0.00,$0.00
68,Sell Short,13/02/2017 00:50,SE,$1970.7,$0.00,1,$380.00,0.19%,$990.00,74.44%,,$0.00,$0.00
,Buy to Cover,13/02/2017 16:50,SX,$1966.9,,$380.00,$10250.00,,($340.00),54.14%,28.57%,$0.00,$0.00
69,Buy,14/02/2017 00:10,LE,$1970.4,$0.00,1,($20.00),-0.01%,$610.00,45.86%,,$0.00,$0.00
,Sell,14/02/2017 16:50,LX,$1970.2,,($20.00),$10230.00,,($720.00),52.63%,-1.50%,$0.00,$0.00
70,Sell Short,15/02/2017 01:05,SE,$1966.7,$0.00,1,($790.00),-0.40%,$870.00,51.48%,,$0.00,$0.00
